AOC,wine_basin,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,wine_type
BOURGOGNE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,44,49,41,55,52,50,72,79,59,62,70,WHITE
BOURGOGNE ALIGOTE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,96,111,93,113,79,71,107,100,69,103,123,WHITE
CHABLIS,BOURGOGNE BEAUJOLAIS SAVOIE JURA,192,193,184,203,190,185,250,259,138,201,168,WHITE
"CHABLIS (including CHABLIS 1er CRU, CHABLIS Gd CRU and PETIT CHABLIS)",BOURGOGNE BEAUJOLAIS SAVOIE JURA,288,290,276,306,286,222,308,319,169,243,190,WHITE
MACON VILLAGES,BOURGOGNE BEAUJOLAIS SAVOIE JURA,194,215,207,228,188,173,217,227,231,208,156,WHITE
MEURSAULT,BOURGOGNE BEAUJOLAIS SAVOIE JURA,13,15,12,14,12,17,13,19,13,20,24,WHITE
POUILLY FUISSE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,39,43,39,46,38,34,43,42,36,42,50,WHITE
SAINT VERAN,BOURGOGNE BEAUJOLAIS SAVOIE JURA,38,44,40,46,40,36,44,43,36,43,53,WHITE
ANJOU Y compris ROSE D'ANJOU,VAL DE LOIRE,165,211,230,195,160,196,184,185,168,135,193,RED AND ROSE
BOURGUEIL,VAL DE LOIRE,50,68,65,70,57,48,64,64,22,60,74,RED AND ROSE
CABERNET D'ANJOU,VAL DE LOIRE,221,331,329,291,281,300,326,336,331,281,383,RED AND ROSE
CHINON,VAL DE LOIRE,87,114,106,115,80,79,92,99,54,84,115,RED AND ROSE
ROSE DE LOIRE,VAL DE LOIRE,55,61,67,56,36,52,54,47,35,36,47,RED AND ROSE
SAINT NICOLAS DE BOURGUEIL,VAL DE LOIRE,52,60,59,62,55,55,60,61,49,60,69,RED AND ROSE
SANCERRE,VAL DE LOIRE,33,27,34,33,27,32,35,34,32,32,35,RED AND ROSE
SAUMUR,VAL DE LOIRE,33,38,32,31,23,20,32,28,30,5,34,RED AND ROSE
SAUMUR CHAMPIGNY,VAL DE LOIRE,70,75,79,84,65,64,85,83,78,65,90,RED AND ROSE
TOURAINE,VAL DE LOIRE,88,98,96,97,58,89,83,75,61,57,92,RED AND ROSE
ANJOU,VAL DE LOIRE,23,34,27,21,20,20,18,20,17,20,29,WHITE
COTEAUX DU LAYON including Chaume and nom de commune,VAL DE LOIRE,42,54,48,49,32,44,47,46,38,40,50,WHITE
MUSCADET (Tous),VAL DE LOIRE,301,645,429,441,246,446,408,417,244,279,472,WHITE
POUILLY FUME / POUILLY SUR LOIRE,VAL DE LOIRE,62,62,74,79,77,76,83,80,54,68,87,WHITE
SANCERRE,VAL DE LOIRE,130,105,134,141,139,138,148,142,142,141,158,WHITE
SAUMUR,VAL DE LOIRE,19,23,22,19,13,18,20,17,18,18,23,WHITE
TOURAINE,VAL DE LOIRE,98,128,133,120,85,127,136,120,124,108,158,WHITE
VOUVRAY,VAL DE LOIRE,48,40,39,42,35,32,50,49,42,45,54,WHITE
BERGERAC and COTES DE BERGERAC,SUD-OUEST,247,350,319,316,284,184,282,264,290,152,256,RED AND ROSE
BUZET,SUD-OUEST,87,106,102,100,98,78,94,96,110,99,87,RED AND ROSE
CAHORS,SUD-OUEST,140,184,113,178,157,97,188,161,141,75,164,RED AND ROSE
COTES DE DURAS,SUD-OUEST,43,61,52,51,51,38,49,47,48,41,76,RED AND ROSE
COTES DU FRONTONNAIS,TOULOUSE-PYRENEES,73,71,67,66,60,46,67,69,70,43,57,RED AND ROSE
COTES DU MARMANDAIS,SUD-OUEST,43,54,48,46,39,31,40,41,45,35,40,RED AND ROSE
GAILLAC,TOULOUSE-PYRENEES,109,108,103,97,93,74,101,104,113,101,105,RED AND ROSE
MADIRAN,TOULOUSE-PYRENEES,48,72,69,64,58,47,54,58,62,61,60,RED AND ROSE
BERGERAC and COTES DE BERGERAC,SUD-OUEST,99,128,154,134,123,100,112,110,129,70,124,WHITE
GAILLAC,TOULOUSE-PYRENEES,43,51,54,41,36,31,35,37,45,35,35,WHITE
JURANCON,TOULOUSE-PYRENEES,43,35,48,49,50,36,45,47,58,49,53,WHITE
MONBAZILLAC,SUD-OUEST,50,55,54,55,59,55,53,61,67,45,73,WHITE
MONTRAVEL,SUD-OUEST,6,8,7,6,6,5,5,4,4,3,3,WHITE
CORBIERES,LANGUEDOC-ROUSSILLON,497,426,319,417,382,387,392,401,359,363,377,RED AND ROSE
COSTIERES DE NIMES,LANGUEDOC-ROUSSILLON,200,193,193,183,174,178,204,221,210,189,159,RED AND ROSE
LANGUEDOC,LANGUEDOC-ROUSSILLON,295,279,271,282,310,315,307,300,287,253,268,RED AND ROSE
COTES DU ROUSSILLON,LANGUEDOC-ROUSSILLON,223,177,176,192,158,162,181,182,136,143,161,RED AND ROSE
COTES DU ROUSSILLON VILLAGES,LANGUEDOC-ROUSSILLON,63,58,68,81,62,77,87,91,68,84,90,RED AND ROSE
FAUGERES,LANGUEDOC-ROUSSILLON,66,59,55,68,63,61,64,58,54,50,44,RED AND ROSE
FITOU,LANGUEDOC-ROUSSILLON,94,72,74,76,69,75,86,79,67,73,78,RED AND ROSE
MINERVOIS,LANGUEDOC-ROUSSILLON,143,125,123,122,125,127,125,138,130,128,142,RED AND ROSE
SAINT CHINIAN,LANGUEDOC-ROUSSILLON,113,101,94,106,106,105,105,113,99,93,86,RED AND ROSE
TOUS VINS DOUX NATURELS,VIN DOUX NATURELS,48,76,20,80,42,42,43,37,30,36,39,RED AND ROSE
a/ MAURY (subset),VIN DOUX NATURELS,7,6,5,6,5,4,5,5,3,4,8,RED AND ROSE
b/ RIVESALTES (subset),VIN DOUX NATURELS,23,13,7,61,35,38,36,32,27,32,32,RED AND ROSE
LANGUEDOC (including Picpoul de Pinet),LANGUEDOC-ROUSSILLON,74,77,81,91,79,93,96,110,101,88,79,WHITE
COTES DU ROUSSILLON,LANGUEDOC-ROUSSILLON,4,5,7,7,7,8,10,12,10,12,14,WHITE
TOUS VINS DOUX NATURELS,VIN DOUX NATURELS,259,289,190,195,127,120,96,104,94,96,118,WHITE
a/ MUSCAT DE RIVESALTES (subset),VIN DOUX NATURELS,111,106,114,121,101,93,76,82,73,82,75,WHITE
b/ RIVESALTES (subset),VIN DOUX NATURELS,109,96,52,41,0,0,0,0,0,0,32,WHITE
COTES DU RHONE,VALLEE DU RHÔNE,1513,1408,1369,1549,1383,1154,1429,1341,1393,1082,1254,RED AND ROSE
COTES DU RHONE VILLAGES,VALLEE DU RHÔNE,318,347,284,278,302,294,347,369,330,292,314,RED AND ROSE
COTES DU RHONE Communales,VALLEE DU RHÔNE,312,332,320,351,293,260,278,244,329,265,306,RED AND ROSE
a/ CHATEAUNEUF DU PAPE (subset),VALLEE DU RHÔNE,82,86,79,90,86,77,90,95,94,67,74,RED AND ROSE
b/ CROZES-HERMITAGE (subset),VALLEE DU RHÔNE,51,61,58,64,61,55,59,67,71,65,67,RED AND ROSE
c/ GIGONDAS (subset),VALLEE DU RHÔNE,37,32,37,41,36,30,44,45,37,31,35,RED AND ROSE
d/ VACQUEYRAS (subset),VALLEE DU RHÔNE,42,42,41,46,43,37,51,46,44,37,40,RED AND ROSE
GRIGNAN LES ADHEMAR (ex COTEAUX DU TRICASTIN),VALLEE DU RHÔNE,60,48,0,58,47,33,52,52,58,38,44,RED AND ROSE
COTES DU LUBERON,VALLEE DU RHÔNE,111,115,113,115,121,120,131,131,126,107,124,RED AND ROSE
COTES DU VENTOUX,VALLEE DU RHÔNE,235,261,251,268,250,216,281,263,260,182,239,RED AND ROSE
COTES DU RHONE,VALLEE DU RHÔNE,48,47,48,57,61,51,70,78,75,61,78,WHITE
SAVOIE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,79,83,84,86,77,71,72,77,79,66,42,WHITE
COTES DU LUBERON,VALLEE DU RHÔNE,29,36,36,36,31,29,37,33,31,29,32,WHITE
COTEAUX D'AIX EN PROVENCE,PROVENCE-CORSE,194,186,193,196,195,170,211,205,200,177,213,RED AND ROSE
COTEAUX VAROIS,PROVENCE-CORSE,115,113,120,122,115,116,129,127,124,110,138,RED AND ROSE
COTES DE PROVENCE,PROVENCE-CORSE,934,862,892,922,832,862,991,924,933,829,834,RED AND ROSE
BANDOL,PROVENCE-CORSE,49,49,51,54,53,52,55,55,50,48,52,RED AND ROSE
COTES DE PROVENCE,PROVENCE-CORSE,31,30,31,33,30,33,33,32,36,31,37,WHITE
COTEAUX D'AIX,PROVENCE-CORSE,9,9,9,9,10,9,10,11,12,10,13,WHITE
ALSACE,ALSACE ET EST,817,816,576,816,824,712,711,800,794,655,788,WHITE
ALSACE GRAND CRU,ALSACE ET EST,48,45,19,28,45,38,36,41,42,0,59,WHITE
ARBOIS,BOURGOGNE BEAUJOLAIS SAVOIE JURA,16,14,15,20,12,8,12,12,15,6,15,RED AND ROSE
ARBOIS,BOURGOGNE BEAUJOLAIS SAVOIE JURA,15,13,14,21,15,9,14,17,20,11,30,WHITE
COTES DU JURA,BOURGOGNE BEAUJOLAIS SAVOIE JURA,5,6,6,8,5,4,5,5,5,3,8,RED AND ROSE
COTES DU JURA,BOURGOGNE BEAUJOLAIS SAVOIE JURA,18,13,14,20,13,9,13,15,17,8,28,WHITE
